sec, nanosec, x, y, th
5,169000000,-1.8061340733150528,-0.5000007001284628,1.6513420319664253e-0
5,203000000,-1.7976322225350156,-0.5000006699082705,1.6987377659530658e-0
5,237000000,-1.789130009123345,-0.5000006404815508,1.7484279286607784e-0
5,271000000,-1.7806274355006448,-0.5000006121042335,1.7992430459148829e-0
5,305000000,-1.7721245041025477,-0.5000005849306044,1.8498919308201016e-0
5,339000000,-1.7636212174311041,-0.5000005590604013,1.9011892422997843e-0
5,373000000,-1.7551175778282326,-0.5000005346823473,1.953519031800822e-0
5,407000000,-1.7466135878088527,-0.5000005121521617,2.006304284069424e-0
5,441000000,-1.7381092499105963,-0.5000004918602733,2.059551185631724e-0
5,475000000,-1.729604566753103,-0.5000004740896313,2.1136939107886774e-0
5,509000000,-1.7210995409576606,-0.5000004589913105,2.168709850752806e-0
5,543000000,-1.7125941750114644,-0.5000004466503047,2.2243963402088293e-0
5,577000000,-1.704088471487845,-0.5000004372398604,2.280791720304844e-0
5,611000000,-1.6955824331113853,-0.50000043108826,2.3379652068847468e-0
5,645000000,-1.6870761205400118,-0.5000004287839734,2.3540864861248187e-0
5,679000000,-1.67856998474909,-0.5000004332285425,2.1162365811880593e-0
5,713000000,-1.670064982521405,-0.5000004464312906,1.925644295216866e-0
5,747000000,-1.6615612408425626,-0.5000004637660767,2.038804218363248e-0
5,781000000,-1.6530587011776963,-0.500000481281308,2.133018334722929e-0
5,815000000,-1.6445573626171768,-0.5000005005485602,2.056217668107543e-0
5,849000000,-1.636057225964997,-0.5000005221030492,2.028102713329964e-0
5,883000000,-1.6275582914077398,-0.5000005435883288,2.0786180100629335e-0
5,917000000,-1.619060558545179,-0.5000005638042565,2.0769228520738484e-0
5,951000000,-1.610564027552173,-0.5000005826861439,2.0393384574060385e-0
5,985000000,-1.6020687976912171,-0.5000005991086697,2.0433662008490756e-0
6,19000000,-1.5935742791279977,-0.500000609785588,2.261120340438168e-0
6,53000000,-1.5850798137334325,-0.500000611931155,2.55203552530131e-0
6,87000000,-1.5765849005612174,-0.5000006083459723,2.5955875641942344e-0
6,121000000,-1.5680895630142055,-0.5000006018254313,2.5092142884517292e-0
6,155000000,-1.5595938263900742,-0.5000005895479298,2.569990206005812e-0
