x, y, th, sec, nanosec, 
-1.6020930504395237,-0.5000005241150599,2.980126495665903e-06,46,955000000,
-1.5935953359198816,-0.5000005014743361,3.0101909679444815e-06,46,989000000,
-1.5850972367291571,-0.5000004755024388,3.0636003831186786e-06,47,23000000,
-1.5765987550752778,-0.5000004472400139,3.102606072877617e-06,47,57000000,
-1.5680998934273178,-0.5000004177923317,3.1319286061093446e-06,47,91000000,
-1.5596006544479637,-0.500000387105702,3.176838274927249e-06,47,125000000,
-1.5511010410093684,-0.5000003549328254,3.227142000190371e-06,47,159000000,
-1.542601057690164,-0.5000003215078411,3.2684661779070454e-06,47,193000000,
-1.5341007084220806,-0.5000002873455652,3.3066380583190676e-06,47,227000000,
-1.5255999946014183,-0.5000002529197941,3.352082442186455e-06,47,261000000,
-1.5170989209068657,-0.5000002183676955,3.3988984582054685e-06,47,295000000,
-1.5085974934014972,-0.5000001838604983,3.4419009676479296e-06,47,329000000,
-1.5000957219260769,-0.5000001495958443,3.485037862895194e-06,47,363000000,
-1.4915936238931236,-0.500000115869794,3.5290659332638713e-06,47,397000000,
-1.4830912411387664,-0.500000083123199,3.5691508475608944e-06,47,431000000,
-1.4745882764241145,-0.5000000518716122,3.5793466220135565e-06,47,465000000,
-1.4660848876127626,-0.5000000233454314,3.515775945747584e-06,47,499000000,
-1.45758111452809,-0.4999999982475985,3.476217052805941e-06,47,533000000,
-1.4490769408291893,-0.49999997593692497,3.4869034553762084e-06,47,567000000,
-1.4405725157156575,-0.4999999569203807,3.4331975618125248e-06,47,601000000,
-1.432068809536654,-0.49999994246237495,3.3597132830699346e-06,47,635000000,
-1.423565863997224,-0.4999999314712589,3.3646516116663435e-06,47,669000000,
-1.4150642288164235,-0.4999999222400187,3.3868372051813066e-06,47,703000000,
-1.4065637961237112,-0.4999999139447509,3.3849181281738324e-06,47,737000000,
-1.3980645656070763,-0.4999999059123762,3.374417036788233e-06,47,771000000,
-1.3895665702939566,-0.4999998971222832,3.377262220419174e-06,47,805000000,
-1.3810694329476743,-0.4999998865071,3.406456505013454e-06,47,839000000,
-1.3725727723538839,-0.49999987338734075,3.4292196121199116e-06,47,873000000,
-1.364076114521455,-0.49999985757583115,3.4387739821132854e-06,47,907000000,
-1.3555790691618133,-0.49999983927436314,3.4402287893550206e-06,47,941000000,
-1.3470815052393827,-0.4999998191018,3.42350869744432e-06,47,975000000,
-1.338583433880752,-0.4999997972834803,3.4055584098788605e-06,48,9000000,
-1.330084859929117,-0.49999977401670354,3.4017408665557394e-06,48,43000000,
-1.3215857836154166,-0.4999997499646066,3.3977751860782856e-06,48,77000000,
-1.3130862058030695,-0.49999972558600186,3.3911865296417503e-06,48,111000000,
-1.3045861309273377,-0.4999997012143642,3.3902631836536565e-06,48,145000000,
-1.2960855607587987,-0.4999996764379118,3.392251741825318e-06,48,179000000,
-1.2875844944675994,-0.49999965191947726,3.3931507696765307e-06,48,213000000,
-1.2790829344864232,-0.49999962814655724,3.395715102514386e-06,48,247000000,
-1.27058088325482,-0.4999996055733076,3.401257914805936e-06,48,281000000,
-1.2620783432829277,-0.49999958455494653,3.4077646436569545e-06,48,315000000,
-1.2535753869221238,-0.49999956542309315,3.4145154627037443e-06,48,349000000,
-1.2450724331167704,-0.49999954833418053,3.421023042162578e-06,48,383000000,
